,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124
Point_0,0.0,1355.1,1037.5,1316.3,1208.4,1023.5,1534.0,1463.1,1272.5,947.5,1285.7,1743.9,1678.4,1947.2,1758.0,1923.9,1099.9,1244.8,1348.6,871.4,1150.7,1247.5,1184.0,1299.7,1385.7,1187.5,1523.6,1625.9,1150.1,2091.8,2000.4,1939.3,1421.9,1720.0,1914.0,2168.5,1839.4,1867.7,1587.2,1757.3,1588.5,2060.3,1813.1,771.1,963.4,833.1,638.8,3075.4,2854.4,3459.4,2583.6,4321.5,2274.5,2478.2,1987.4,2139.8,2454.2,2732.9,1098.0,1119.1,883.9,1128.0,1089.6,905.3,1249.2,1577.2,1688.7,1831.8,1900.7,2972.2,1750.8,1476.2,1198.1,1334.3,650.6,325.4,833.3,450.9,1245.3,1350.6,1754.5,1364.2,2008.4,2230.1,2139.4,2152.8,3453.7,1873.0,1191.1,555.7,988.3,2481.1,992.8,1409.5,1829.3,1696.3,426.6,846.8,699.1,649.4,212.5,712.0,777.0,451.1,273.3,104.1,832.8,614.3,575.8,290.8,629.1,399.2,369.9,850.7,518.9,975.1,194.5,976.3,970.3,952.5,261.1,484.3,1192.1,412.4,1287.6
Point_1,1310.6,0.0,597.0,802.0,752.3,524.4,940.8,2366.7,2176.1,1028.0,1196.8,1166.7,1085.2,1432.8,1164.8,1330.7,2003.5,299.8,2252.2,763.1,810.2,1227.3,1299.2,2203.3,1305.2,2091.1,1387.0,1284.7,205.0,1577.5,2904.0,2842.9,2325.5,3030.6,2817.6,3072.0,2742.9,2771.3,2490.8,2660.9,2492.0,2963.9,2716.7,2081.7,2274.0,2143.7,1949.5,4386.0,4165.0,4770.0,3894.3,5632.1,3585.1,3788.8,3298.1,3450.4,3764.8,4043.5,2408.7,2429.8,2194.6,2438.7,2400.2,2215.9,2152.8,2480.8,2592.3,2735.4,2804.3,4282.8,2654.4,2379.8,2101.7,2237.9,1961.2,1636.0,2512.9,1761.5,2148.9,2254.1,2658.1,2267.8,2911.9,3133.7,3043.0,3056.3,4764.3,2776.6,2094.6,1964.2,1891.9,3791.7,2303.4,2313.1,2732.9,3006.9,1606.2,980.3,1169.8,1040.9,1175.3,827.7,857.5,1354.6,1161.1,1283.7,1736.4,1000.6,1755.4,1601.4,1532.7,1156.8,985.2,691.0,1201.8,767.0,1374.1,378.8,1873.9,570.6,1373.3,870.8,549.5,1592.0,431.4
Point_2,941.3,597.0,0.0,278.8,170.8,145.7,343.7,1562.5,1372.0,431.0,599.8,569.6,488.2,909.6,567.7,733.7,785.5,297.2,936.3,166.1,213.2,630.2,702.2,794.1,708.2,1287.0,790.0,687.7,392.1,1054.3,2099.8,2038.7,1521.3,2661.2,2013.5,2267.9,1938.8,1967.1,1686.7,1856.8,1687.9,2159.7,1912.5,1712.3,1904.6,1774.4,1580.1,4016.7,3795.7,4400.6,3524.9,5262.7,3215.8,3419.5,2928.7,3081.0,3395.4,3674.2,2039.3,2060.4,1825.2,2069.3,2030.9,1846.6,1348.6,1676.6,1788.1,1931.2,2000.2,3913.4,1850.2,1575.6,1297.6,1433.8,1591.9,1266.7,1708.8,1392.2,1344.7,1450.0,1853.9,1463.6,2107.8,2329.5,2238.8,2252.2,4394.9,1972.4,1290.5,1160.0,1087.8,3422.4,1934.0,1509.0,1928.8,2637.6,1367.9,1005.2,1063.2,718.2,819.1,780.8,260.5,535.4,791.7,1045.4,932.2,423.2,1517.1,1232.0,728.6,800.6,629.0,715.9,879.1,792.0,1135.8,544.7,1069.7,595.5,1202.4,553.0,760.6,1353.7,856.0
Point_3,1220.1,802.0,278.8,0.0,203.1,350.6,467.1,1841.3,1650.8,539.3,708.1,693.0,611.6,630.8,691.1,815.8,893.9,502.1,1059.6,444.9,336.6,753.6,810.5,917.4,831.5,1565.8,913.3,811.0,597.0,775.5,2378.7,2317.6,1800.1,2940.1,2292.3,2546.7,2217.6,2246.0,1965.5,2135.6,1966.7,2438.6,2191.4,1991.2,2183.5,2053.2,1859.0,4295.5,4074.5,4679.5,3803.7,5541.6,3494.6,3698.3,3207.5,3359.9,3674.3,3953.0,2318.1,2339.2,2104.0,2348.2,2309.7,2125.4,1627.5,1955.5,2067.0,2210.0,2279.0,4192.3,2129.0,1854.4,1576.4,1712.6,1870.7,1545.5,1987.6,1671.0,1623.6,1728.8,2132.7,1742.5,2386.6,2608.4,2517.6,2531.0,4673.8,2251.3,1569.3,1438.9,1366.6,3701.2,2212.9,1787.8,2207.6,2916.4,1646.7,1210.1,1342.1,997.0,1097.9,873.6,539.3,814.2,1070.5,1324.2,1211.1,702.0,1795.9,1510.9,1007.4,1079.4,907.8,920.9,1158.0,996.9,1414.6,749.7,1348.6,800.5,1481.2,831.9,965.5,1632.5,1060.9
Point_4,1112.1,752.3,170.8,203.1,0.0,301.0,264.0,1314.0,1031.9,336.3,505.1,489.9,408.5,833.9,488.0,654.0,690.9,452.5,856.6,336.9,133.5,550.5,607.5,714.4,628.5,827.2,710.3,608.0,547.4,978.6,2270.7,2209.6,1692.2,2832.1,2184.3,2438.7,2109.6,2138.0,1857.5,2027.6,1858.7,2330.6,2083.4,1883.2,2075.5,1945.2,1751.0,4187.5,3966.5,4571.5,3695.8,5433.6,3386.6,3590.3,3099.6,3251.9,3566.3,3845.0,2210.1,2231.3,1996.1,2240.2,2201.7,2017.4,1519.5,1847.5,1959.0,2102.1,2171.0,4084.3,2021.1,1746.5,1468.4,1604.6,1762.7,1437.5,1879.6,1563.0,1515.6,1620.8,2024.8,1634.5,2278.6,2500.4,2409.6,2423.0,4565.8,2143.3,1461.3,1330.9,1258.6,3593.2,2104.9,1679.8,2099.6,2808.4,1538.8,1160.5,1234.1,889.0,989.9,823.9,431.3,706.2,962.5,1216.2,1103.1,594.0,1688.0,1402.9,899.4,971.4,799.8,871.2,1050.0,947.3,1306.6,700.0,820.4,750.8,1373.2,723.9,915.9,1524.5,1011.3
Point_5,978.3,524.4,145.7,350.6,301.0,0.0,489.4,1599.5,1409.0,526.3,695.1,715.3,633.9,981.4,713.4,879.4,1236.3,224.6,1485.0,261.4,358.9,773.4,797.5,937.3,851.3,1324.0,935.6,833.4,319.4,1126.1,2136.8,2075.7,1558.3,2698.3,2050.5,2304.9,1975.8,2004.2,1723.7,1893.8,1724.9,2196.7,1949.5,1749.4,1941.7,1811.4,1617.1,4053.7,3832.7,4437.6,3561.9,5299.8,3252.8,3456.5,2965.7,3118.1,3432.5,3711.2,2076.3,2097.4,1862.2,2106.3,2067.9,1883.6,1385.6,1713.7,1825.1,1968.2,2037.2,3950.5,1887.2,1612.6,1334.6,1470.8,1628.9,1303.7,1745.8,1429.2,1381.7,1487.0,1890.9,1500.7,2144.8,2366.6,2275.8,2289.2,4432.0,2009.5,1327.5,1197.1,1124.8,3459.4,1971.0,1546.0,1965.8,2674.6,1404.9,859.5,984.1,639.1,773.5,522.9,355.8,572.4,828.7,881.9,969.3,409.2,1554.1,1269.1,765.6,755.0,583.4,570.3,800.0,646.3,1172.8,399.1,1106.7,449.9,971.5,469.0,614.9,1390.7,710.3
Point_6,1369.0,940.8,343.7,467.1,264.0,489.4,0.0,1046.9,767.8,333.7,246.9,225.9,144.5,811.8,224.0,389.9,434.1,641.0,592.5,509.8,130.5,286.5,349.9,450.3,364.4,563.2,400.4,335.8,735.8,956.5,2085.7,2024.6,1507.2,3089.0,1664.6,1919.0,1589.9,1618.2,1337.8,1507.9,1339.0,1810.8,1563.6,2140.1,2332.4,2202.1,2007.9,2908.5,2687.5,3292.4,2430.5,4154.5,3643.5,3847.2,3356.5,3508.8,3823.2,2548.7,2467.0,2488.2,2253.0,2497.1,2458.6,2274.3,999.7,1662.5,1774.0,1917.1,1986.0,2805.2,1836.1,1561.5,1283.4,797.6,2019.6,1694.4,1694.6,1819.9,1330.6,1301.9,1839.8,1114.8,2093.6,1980.7,2224.7,1903.3,3286.7,1623.6,1191.9,1587.8,1515.5,3850.1,2361.8,1160.1,1914.6,3065.3,1795.7,1349.0,1307.0,961.9,1062.8,1024.5,504.2,963.1,1219.4,1473.1,918.1,666.9,1944.9,1659.8,1156.3,1044.3,872.7,1163.2,1122.9,1135.7,1563.5,888.5,563.7,939.3,1630.1,796.8,1104.3,1781.4,1199.8
Point_7,1421.8,2354.0,1366.8,1645.6,1537.7,1462.1,1054.5,0.0,284.7,1276.8,838.7,828.6,1083.3,1608.2,1250.5,1157.2,894.9,1755.6,645.4,1200.7,1185.1,760.4,746.8,596.5,682.5,450.5,682.4,694.9,2149.0,1752.8,1797.6,1736.5,1219.1,3141.7,1377.6,1632.0,1302.9,1331.3,1050.8,1220.9,1052.0,1523.9,1276.7,2192.8,2385.1,2254.9,2060.6,2620.4,2399.4,3004.3,2142.4,3866.5,3696.3,2233.2,3409.2,3561.5,3875.9,2260.6,2519.8,2540.9,2305.7,2549.8,2511.3,2327.1,712.8,1374.4,1485.9,1629.0,1698.0,2517.2,1548.0,1273.4,995.4,399.2,1589.3,1747.2,1406.6,1872.6,1042.5,1147.8,1551.7,827.8,1805.6,1693.7,1936.6,1616.3,2998.7,1336.6,988.3,1640.5,1568.2,2511.2,1931.5,873.1,1626.6,3118.1,1848.4,2268.6,2120.8,1648.3,1415.4,1710.9,1106.3,1015.9,1272.2,1525.8,630.0,1179.1,1997.6,1712.5,1209.0,1457.4,1368.8,1849.6,1721.8,2147.8,1616.3,1975.2,765.3,1951.4,1682.8,1483.2,2191.0,1834.2,2286.5
Point_8,1231.2,2163.4,1176.2,1455.1,1347.1,1271.6,767.8,284.7,0.0,728.5,559.7,673.4,912.3,1579.6,991.8,1146.2,704.3,1565.0,366.3,1010.2,898.4,481.3,467.7,317.5,403.4,146.6,453.1,555.4,1958.5,1724.3,1607.1,1546.0,1028.6,2951.2,1187.0,1441.4,1112.4,1140.7,860.2,1030.3,861.4,1333.3,1086.1,2002.3,2194.6,2064.3,1870.0,2429.8,2208.8,2813.8,1951.9,3675.9,3505.7,2042.6,3218.6,3371.0,3685.4,2070.1,2329.2,2350.3,2115.1,2359.2,2320.8,2136.5,522.2,1183.9,1295.4,1438.4,1507.4,2326.6,1357.5,1082.9,804.8,208.6,1398.7,1556.6,1216.0,1682.1,852.0,957.2,1361.1,637.2,1615.0,1503.1,1746.0,1425.8,2808.1,1146.0,797.7,1450.0,1377.7,2320.6,1740.9,682.5,1436.0,2927.5,1657.8,2078.0,1930.3,1457.8,1224.9,1520.3,915.8,825.3,1081.6,1335.3,439.5,988.6,1807.0,1522.0,1018.5,1266.8,1178.3,1659.1,1531.3,1957.3,1425.7,1784.6,574.7,1760.8,1492.3,1292.6,2000.5,1643.6,2095.9
Point_9,851.3,1013.0,416.0,539.3,336.3,526.3,333.7,1007.5,728.5,0.0,168.8,518.7,478.2,1145.5,557.7,723.7,354.6,713.2,553.2,264.9,203.2,247.1,271.2,411.0,325.1,523.9,506.0,441.4,808.0,1290.2,2009.8,1948.7,1431.3,2571.2,1923.5,2177.9,1848.8,1877.1,1596.7,1766.8,1597.9,2069.7,1822.5,1622.3,1814.6,1684.4,1490.1,3926.7,3705.7,4310.6,3434.9,5172.7,3125.8,3329.5,2838.7,2991.0,3305.4,3584.2,1949.3,1970.4,1735.2,1979.3,1940.9,1756.6,1258.6,1586.6,1698.1,1841.2,1910.2,3823.4,1760.2,1485.6,1207.6,1343.8,1501.8,1176.7,1618.7,1302.2,1254.7,1360.0,1763.9,1373.6,2017.8,2239.5,2148.8,2162.2,4304.9,1882.4,1200.5,1070.0,997.7,3332.4,1844.0,1419.0,1838.8,2547.6,1277.9,1698.1,973.2,628.2,729.1,690.8,170.5,445.4,701.7,955.3,842.2,333.2,1427.1,1142.0,638.6,710.6,539.0,829.5,789.1,1127.7,1045.8,955.0,484.2,931.2,1112.3,463.0,1170.9,1263.7,1266.3
